paper_ID,KL_score,variance
0,-1.4689970308429525,46.65026454084727
1,-1.3008167303396772,46.86093751289132
2,-1.517343355751734,46.81274841930976
3,-1.0763829085668604,46.67412293943315
4,-1.3168313857259708,46.765786798350746
5,-1.2187107155299082,46.74833006933723
6,-0.8994321796946374,46.67120409147727
7,-1.2660498930465174,47.64644852464702
8,-1.719879199530348,46.81864117386831
9,-1.351319575878275,46.84007140658717
10,-1.609744028503735,46.77065623099125
11,-1.6106592885509363,46.717001494588665
12,-1.287493498284264,46.63275345390874
13,-1.2779588313861854,46.757349440086166
14,-0.8924587567370879,46.63756895072838
15,-0.9162036895317252,46.580175643016695
