paper_ID,KL_score,variance
0,-0.728732208363954,24.511994625697
1,-1.30853591561089,24.5733954804986
2,-1.08480745070761,24.5419556174224
3,-1.34445698974058,24.7007378065887
4,-0.951737819786931,24.658266592228
5,-0.68437658606647,24.5139307129174
6,-0.855756256658918,24.5998882212867
7,-0.998020519139616,24.6633361303801
8,-1.14627061227912,24.7491794424831
9,-1.91396859150351,24.605781551039
10,-1.12203869253966,24.7914363152276
11,-1.18919014346782,24.6045306838905
12,-0.923461339233168,24.6307295592284
13,-1.34226942742867,24.5815612969919
14,-1.41617785412717,24.6650752759844
15,-1.88308204888887,24.6407690570035
16,-1.27258092756026,24.6522395911261
17,-1.07128959654281,24.712538417437
18,-1.10219942231585,24.543056162211
19,-0.774135105042949,24.5056451132389
20,-0.957641542441999,24.5813497092138
21,-1.20175435121352,24.6664536786776
22,-1.12899516318878,24.6197656418478
23,-1.31757778846975,24.6934876317472
24,-1.14029047356288,24.6670531916099
25,0,24.5316534291264
26,-1.49278044468885,24.7267919878887
27,-1.32468826420341,24.6838724117271
28,-1.01754844329932,24.8002075523997
29,-1.20781780533582,24.6597520747283
30,-1.26693856005771,24.7482626990012
31,-1.20479132476586,24.8370865581624
32,-1.11136220540406,24.6122104722707
33,-1.38696673191906,24.7562544811221
34,-1.49610728887839,24.5948819329694
35,-1.56740289403559,24.5804890328548
36,-1.41540020734981,24.6880038923847
37,-0.727256132661012,24.4929412689044
38,-1.17967140104084,24.611607079391
39,-1.24383660564974,24.8554291396776
40,0,24.5316534291264
41,-1.08406563176829,24.6281878594691
42,-1.0790697367026,24.6428409195042
43,-1.02397030298737,24.5462192815139
44,-1.10750011962721,24.5805301024336
45,-1.00037570484456,24.9089145004557
46,-0.998503374790981,24.6429346229344
47,-1.75923526961511,24.5770596211034
48,-0.650857292070442,24.5723037147546
49,-0.989077054812027,24.6247382066666
50,-1.20489874755101,24.5455653098846
51,0,24.5316534291264
52,-1.19457062489934,24.6390147895672
53,-1.23825485219695,24.8679846117944
54,-1.3462661425305,24.55921314485
55,-0.908893715887426,24.5851792477162
56,-1.14556644817821,24.5422307097124
57,-1.17996717171974,24.6444391979438
58,-1.00776573249547,24.6575338375909
59,-1.4353823504224,24.6427604892108
60,-1.01480411373744,24.5936416257775
61,-1.11181692156978,24.560971084471
62,-1.14826521805908,24.571200916865
63,-1.33946916170816,24.7600094363699
64,-1.10107835472609,24.7766031060693
65,-0.865699402867652,24.532292118728
66,-1.26553346778316,24.6785935434643
67,-1.1301408931215,24.7253997380086
68,-1.08483546909518,24.7366244373584
69,-0.83431990956538,24.5526433850971
70,-1.35623266111518,24.8040187188207
71,-1.03227101749823,24.5794910771923
72,-1.47168636791342,24.5991796782452
73,-1.33081910840875,24.7887391881094
74,-1.27480531086959,24.7586699921601
75,-1.23760341367134,24.590013078186
76,-0.60159599224021,24.4795810507226
77,-0.790527815744891,24.6610218348016
