paper_ID,KL_score,variance
0,-1.2942013453604757,24.670904733275297
1,-1.0297241851049268,24.740328097865373
2,-1.4454895863711417,24.703100585271052
3,-1.025583345227076,24.73510078971853
4,-1.5388859081166792,24.714170058798103
5,-1.0954351491411876,24.85492301722389
6,-1.2165906387216214,24.650587947878805
7,-1.1586691144767314,24.64394466153085
8,-1.2448947164462114,24.765352237971488
9,-1.0746922652728306,24.55750801323579
10,-1.1548347778821322,24.733984411973875
11,-0.9620887524813656,24.676015863115158
12,-1.2013825611502713,24.709729446309456
13,-0.8128776505526287,24.51207507269193
14,-0.8492839590953002,24.83544415154534
15,-0.9593612632020866,24.598255373697324
16,-1.030402175246217,24.688963933011088
17,-1.3416789541389722,24.512279310662407
18,-1.0862574628521284,24.652014729208116
19,-1.1710076034504784,24.796854173241243
20,-1.030277193400166,24.738089618993946
21,-1.2395920263040636,24.723518665456368
22,-0.940158957097623,24.78233534450617
23,-0.9005441869617612,24.515280992080765
24,-1.359181479871404,24.72301957817039
