paper_ID,KL_score,variance
0,-1.8276753265620278,47.210810763242144
1,-1.0479011608824238,47.32053007165498
2,-1.637050502086563,47.19236194799904
3,-0.8104938023478386,47.63410917061549
4,-1.104646309061245,47.311778228692944
5,-1.316081122423774,47.25440174631379
6,-1.3850287495683418,47.09685342083584
7,-1.7368284190536447,47.1459938757807
8,-1.3861957206077244,47.239129293938625
9,-1.5762488734542643,47.32314905533782
10,-1.2545938535006413,47.183658109363336
11,-0.9831711675171039,47.64074317640464
12,-1.5679574777090761,47.58208793741697
13,-1.5272025395571092,47.19940454973129
14,-1.465130497903547,47.1854909980321
15,-1.184404944752514,47.119877493615306
16,-1.3118880675233586,47.443437072959306
17,-0.9489409631709266,47.27631059342016
18,-1.0216147101482154,47.22953371677971
19,-1.2617814612940599,47.32534968722645
